item_id,item_name,brand,kcal_100g,protein_100g,carbs_100g,fat_100g,serving_size,quantity,source
4567340236,Hamburger,Shaw's,279.0,9.3,44.19,5.81,1 ROLL (43 g),,openfoodfacts
4656700685,Hot Dog Buns,Raley's,282.0,7.69,51.28,2.56,1 BUN (39 g),,openfoodfacts
4656702497,Multigrain bread,,256.0,9.3,39.53,5.81,1 SLICE (43 g),,openfoodfacts
4656702498,Whole grain sandwich bread,,233.0,9.3,44.19,2.33,1 SLICE (43 g),,openfoodfacts
4656702499,Whole grain wheat bread,,233.0,6.98,48.84,2.33,1 SLICE (43 g),,openfoodfacts
4656702500,"Old-fashioned bread, smooth and rich buttery",,256.0,9.3,46.51,2.33,1 SLICE (43 g),,openfoodfacts
4656702501,Hearty Whole Grain Bread,Raley's,258.0,12.9,48.39,3.23,1 SLICE (31 g),,openfoodfacts
4656702502,"Sandwich bread, classic white",Raley's,286.0,10.71,50.0,3.57,1 SLICE (28 g),,openfoodfacts
4656760126,Classic French Bread,Raley's,240.0,8.77,43.86,2.81,57 g (57 g),,openfoodfacts
49191,4 Mixed Peppers,"Marks & Spencer, Ocado",250.0,7.14,21.43,17.86,,600 ml,openfoodfacts
51122,Хлеб Тостовый Отрубной Нарезанный XXL,Baker Street,260.0,8.5,49.0,3.5,1 slice (40 g),,openfoodfacts
51123,Хлеб Тостовый Классический XXL,Baker Street,300.0,9.5,59.0,3.0,1 slice (40 g),,openfoodfacts
51446,Greek Style Natural Yogurt,M&S Food,64.0,7.0,8.0,0.4,1 portion (100 g),1 kg,openfoodfacts
51477,0% fat greek style yogurt,M&S,56.0,8.3,4.9,0.4,,150 g,openfoodfacts
5158700350,Greek Nonfat Yogurt,Green Mountain Creamery,124.0,12.0,19.0,0.0,,5.3 oz,openfoodfacts
51668,Greek Style Yogurts Unsweetened,Marks & Spencer,124.0,4.1,5.4,9.6,,,openfoodfacts
5367200261,Pink Himilayan Salt,Riega,0.0,0.0,0.0,0.0,1.5 tsp (9 g),,openfoodfacts
5409002181,Pain campagnard schar,Schar,274.0,4.59999990463257,46.0,5.40000009536743,50.0g,250 g,openfoodfacts
55555,Oliwa z oliwek,Nature’s Own,60.0,2.0,12.0,1.0,1.0g,,openfoodfacts
5645540874,Yogurt Greco,Meterra,134.0,7.0,4.0,10.0,500.0g,,openfoodfacts
5680051051,oikos pro mixed berries,,53.0,8.0,4.33,0.67,,,openfoodfacts
57905,Authentic Greek Yogurt,Marks & Spencer,134.0,6.4,4.2,10.1,1 pot (200 g),,openfoodfacts
62046,Milk Vitamin D added,Trader Joe's,62.5,3.33333333333333,4.58333333333333,3.33333333333333,1 portion (240 ml),,openfoodfacts
62114,1%milk fat Low Fat Milk,Sainsbury's,120.0,10.0,14.0,2.5,1 portion (240 ml),454ml,openfoodfacts
62206,LOW FAT COTTAGE CHEESE,Small World,79.646017699115,11.5044247787611,4.42477876106195,1.76991150442478,1 serving (113 g),16 oz,openfoodfacts
62251,Plain Cream Line Whole Milk Yogurt,Trader Joe's,82.3529411764706,3.52941176470588,7.05882352941176,4.70588235294118,170 g,32 oz,openfoodfacts
62855,Bircher style summer muesli Greek style yogurt,M&S,57.9487179487179,2.41025641025641,9.12820512820513,1.07692307692308,195g,195 g,openfoodfacts
62916,vanilla yogurt,Trader Joe's,79.295154185022,4.8458149779736,14.977973568282,0.0,1 cup (227 g),32 oz,openfoodfacts
6476734385,Free Run Omega3 Eggs,Conestoga,152.380952380952,12.3809523809524,0.952380952380952,10.4761904761905,2 egg (105 g),,openfoodfacts
6525472451,Original canadian maple taste syrup SUGAR FREE,Steeves maples,6.66666666666667,0.0,1.66666666666667,0.0,1 serving (60 ml),,openfoodfacts
66402,GARLIC & CHEESE BREAD STICKS,TRADER JOE'S,285.714285714286,11.9047619047619,40.4761904761905,8.33333333333333,1 serving (42 g),12 oz (340 g),openfoodfacts
68321,Caesar Salad with White Chicken Meat and Creamy Caesar Dressing,Trader Joe's,170.0,7.05882352941176,9.80392156862745,10.9803921568627,1 salad (255 g),9 oz,openfoodfacts
69984,Cavolo Nero Kale,"M&S, Marks & Spencer",40.0,3.4,1.4,1.6,,200g,openfoodfacts
7022110011,Lu Chocolate,Milka,212.121212121212,3.03030303030303,39.3939393939394,4.54545454545455,1 serving (33 g),,openfoodfacts
7025310809,"Onion jumbo bagels, onion",,266.0,10.64,54.26,1.6,1 BAGEL (94 g),,openfoodfacts
7025310810,"Cinnamon raisin jumbo bagels, cinnamon raisin",,266.0,10.64,54.26,1.6,1 BAGEL (94 g),,openfoodfacts
7025310900,"Plain bagels, plain",,272.0,11.11,53.09,1.85,1 BAGEL (81 g),,openfoodfacts
7025310904,"Cinnamon raisin bagels, cinnamon raisin",,272.0,9.88,54.32,1.23,1 BAGEL (81 g),,openfoodfacts
7025310906,"Blueberry bagels, blueberry",,272.0,9.88,54.32,1.85,1 BAGEL (81 g),,openfoodfacts
7025310908,"French toast bagels, french toast",,272.0,11.11,54.32,1.23,1 BAGEL (81 g),,openfoodfacts
7025310909,"Everything bagels, everything",,272.0,11.11,51.85,3.7,1 BAGEL (81 g),,openfoodfacts
7025375209,Enriched White Split Top Bread,Our Family,269.0,7.69,53.85,2.88,2 SLICES (52 g),,openfoodfacts
7040743158,"Greek 100 protein fat free yogurt, tropical fruit",,67.0,9.33,7.33,0.0,1 CONTAINER (150 g),,openfoodfacts
7047044613,"Fat free greek yogurt mousse, raspberry",,88.0,7.96,13.27,0.0,1 CONTAINER (113 g),,openfoodfacts
7070644346,Truite fumée,,168.0,20.1,0.0,9.7,,,openfoodfacts
7078400121,"Orange cream lowfat yogurt, orange cream",,82.0,3.53,14.71,1.18,6 ONZ (170 g),,openfoodfacts
7078400202,"Blended mixed berry lowfat yogurt, mixed berry",,82.0,3.53,15.29,1.18,6 ONZ (170 g),,openfoodfacts
7078402262,Nonfat yogurt,,57.0,5.73,7.93,0.0,1 cup (227 g),,openfoodfacts
7078402264,Lowfat yogurt,,62.0,5.29,7.05,1.32,1 cup (227 g),,openfoodfacts
7078402274,Blended nonfat yogurt,,84.0,5.29,14.98,0.0,1 cup (227 g),,openfoodfacts
7078402276,Blended lowfat yogurt,,93.0,4.85,15.42,1.1,1 cup (227 g),,openfoodfacts
7078402280,Blended lowfat yogurt,,106.0,4.41,19.82,1.1,1 cup (227 g),,openfoodfacts
7078402281,Blended lowfat yogurt,,106.0,4.41,19.82,1.1,1 cup (227 g),,openfoodfacts
7078402300,Nonfat Greek Yogurt,Tops,87.0,8.67,12.67,0.0,5.3 ONZ (150 g),,openfoodfacts
7078402302,Greek Nonfat Yogurt,Tops,80.0,8.67,12.0,0.0,5.3 ONZ (150 g),,openfoodfacts
7078402304,Nonfat Greek Yogurt,Tops,87.0,8.67,12.67,0.0,5.3 ONZ (150 g),,openfoodfacts
7078402306,Fruit on the bottom greek nonfat yogurt,Tops,80.0,8.67,11.33,0.0,5.3 ONZ (150 g),,openfoodfacts
7078402308,Nonfat Greek Yogurt,Tops,80.0,8.67,11.33,0.0,5.3 ONZ (150 g),,openfoodfacts
7078402310,Fruit on the bottom greek nonfat yogurt,Tops,87.0,8.67,12.67,0.0,5.3 ONZ (150 g),,openfoodfacts
7078402312,Nonfat greek yogurt,Tops,57.0,10.57,3.08,0.0,8 ONZ (227 g),,openfoodfacts
7078402314,Nonfat Greek Yogurt,Tops,79.0,8.81,11.01,0.0,8 ONZ (227 g),,openfoodfacts
7078402318,Greek nonfat yogurt,,87.0,8.67,12.67,0.0,5.3 ONZ (150 g),,openfoodfacts
7078402320,Nonfat greek yogurt,,80.0,8.67,10.67,0.0,5.3 ONZ (150 g),,openfoodfacts
7078402337,"Raspberry blended whole milk yogurt, raspberry",,93.0,3.33,14.0,3.0,1 CONTAINER (150 g),,openfoodfacts
7078402341,"Whole milk yogurt, blueberry",,93.0,3.33,14.0,3.0,1 CONTAINER (150 g),,openfoodfacts
7078402343,"Vanilla blended whole milk yogurt, vanilla",,93.0,3.33,14.0,3.0,1 CONTAINER (150 g),,openfoodfacts
7078402345,Fruit on the bottom lowfat yogurt,,94.0,4.12,17.65,0.88,1 CONTAINER (170 g),,openfoodfacts
7078402346,"Fruit on the bottom lowfat yogurt, raspberry",,100.0,4.12,18.82,0.88,1 CONTAINER (170 g),,openfoodfacts
