item_name,cat,kcal_100g,fat_100g,carbs_100g,protein_100g,source,cat_l1,cat_l2,cat_l3,item_name_word_count
blended lowfat yogurt raspberry,yogurts,76.0,1.18,12.94,3.53,off,dairy & eggs,yogurt,yogurts,4
blended lowfat yogurt blueberry,yogurts,76.0,1.18,13.53,3.53,off,dairy & eggs,yogurt,yogurts,4
blended lowfat yogurt mixed berry,yogurts,76.0,1.18,13.53,3.53,off,dairy & eggs,yogurt,yogurts,5
blended lowfat yogurt black cherry,yogurts,76.0,1.18,12.94,3.53,off,dairy & eggs,yogurt,yogurts,5
blackberry blended lowfat yogurt blackberry,yogurts,76.0,1.18,13.53,3.53,off,dairy & eggs,yogurt,yogurts,5
blended lowfat coffee yogurt coffee,yogurts,76.0,1.18,13.53,3.53,off,dairy & eggs,yogurt,yogurts,5
blended lowfat yogurt honey,yogurts,76.0,1.18,13.53,3.53,off,dairy & eggs,yogurt,yogurts,4
lemon blended lowfat yogurt lemon,yogurts,76.0,1.18,12.94,3.53,off,dairy & eggs,yogurt,yogurts,5
vanilla blended lowfat yogurt vanilla,yogurts,76.0,1.18,13.53,3.53,off,dairy & eggs,yogurt,yogurts,5
strawberry blended lowfat yogurt strawberry,yogurts,76.0,1.18,13.53,3.53,off,dairy & eggs,yogurt,yogurts,5
cherry blended lowfat yogurt cherry,yogurts,76.0,1.18,12.94,3.53,off,dairy & eggs,yogurt,yogurts,5
blended lowfat yogurt vanilla,yogurts,71.0,1.33,13.27,3.54,off,dairy & eggs,yogurt,yogurts,4
vanilla blended lowfat yogurt vanilla,yogurts,76.0,1.18,13.53,3.53,off,dairy & eggs,yogurt,yogurts,5
plain almondmilk yogurt plain,yogurts,94.0,7.65,4.71,2.94,off,dairy & eggs,yogurt,yogurts,4
almondmilk yogurt vanilla,yogurts,112.0,7.65,9.41,2.94,off,dairy & eggs,yogurt,yogurts,3
almondmilk yogurt plain,yogurts,93.0,8.0,4.67,3.33,off,dairy & eggs,yogurt,yogurts,3
vanilla almondmilk yogurt vanilla,yogurts,107.0,7.33,9.33,3.33,off,dairy & eggs,yogurt,yogurts,4
almondmilk yogurt strawberry,yogurts,113.0,7.33,10.0,3.33,off,dairy & eggs,yogurt,yogurts,3
almondmilk yogurt blueberry,yogurts,113.0,7.33,10.67,3.33,off,dairy & eggs,yogurt,yogurts,3
cherry blended lowfat yogurt cherry,yogurts,76.0,1.18,12.94,3.53,off,dairy & eggs,yogurt,yogurts,5
peach blended lowfat yogurt peach,yogurts,76.0,1.18,12.94,3.53,off,dairy & eggs,yogurt,yogurts,5
plain bagels,breads,263.0,0.88,56.14,8.77,off,grains & pasta,bread,breads,2
raisin bagels raisin,breads,281.0,0.88,61.4,8.77,off,grains & pasta,bread,breads,3
everything bagels everything,breads,281.0,1.75,56.14,10.53,off,grains & pasta,bread,breads,3
onion bagels onion,breads,263.0,0.88,57.89,8.77,off,grains & pasta,bread,breads,3
blended lowfat yogurt vanilla,yogurts,76.0,1.18,13.53,3.53,off,dairy & eggs,yogurt,yogurts,4
nonfat light greek yogurt peach,yogurts,60.0,0.0,6.0,8.0,off,dairy & eggs,yogurt,yogurts,5
raw almonds,raw almonds,566.666666666667,52.5,8.76,21.4,off,,,raw almonds,2
gourmet flatbread sea salt,breads,388.89,5.56,72.22,11.11,off,grains & pasta,bread,breads,4
goat milk yogurt,goat milk yogurts,59.0,2.65,4.12,4.12,off,dairy & eggs,yogurt,goat milk yogurts,3
blueberry toaster top blueberry,breads,349.0,16.28,44.19,4.65,off,grains & pasta,bread,breads,4
bread tomato herb,breads,306.0,8.16,48.98,10.2,off,grains & pasta,bread,breads,3
pineapple tidbits,frozen pineapples,50.0,0.0,12.8571428571429,0.714285714285714,off,,,frozen pineapples,2
coconut pot original,yogurts,125.0,10.3,6.8,1.2,off,dairy & eggs,yogurt,yogurts,3
earl grey organic black tea,teas,571.428571428571,46.4285714285714,17.8571428571429,25.0,off,beverages,tea,teas,5
meal for one cottagr pie,cottage-pie,80.0,2.9,8.1,4.4,off,,,cottage-pie,5
hand made breadsticks,breads,390.0,3.0,77.5,12.0,off,grains & pasta,bread,breads,3
kosher baby dills,salted-snacks,0.0,0.0,0.0,0.0,off,snacks,other snacks,salted-snacks,3
kosher dill spears,dill pickles,50.3712587523589,0.0,12.5928146880897,0.0,off,,,dill pickles,3
